e0.kV, Si.Int.mu, Si.Int.unc
5.000,5953.190,7.720
6.000,9310.150,9.650
7.000,13076.850,11.440
8.000,17122.770,13.090
9.000,21302.110,15.580
10.000,25800.150,16.060
11.000,30176.340,17.370
12.000,34709.260,19.860
13.000,39192.890,19.800
14.000,43523.890,22.200
15.000,47937.390,23.390
16.000,52350.350,24.470
17.000,56678.530,23.810
18.000,60952.210,26.280
19.000,64925.630,27.140
20.000,69200.040,28.230
21.000,74884.900,29.330
22.000,79580.890,30.200
23.000,83639.690,31.030
24.000,88183.370,31.800
25.000,91295.540,32.410
26.000,94752.570,32.920
27.000,97940.700,33.580
28.000,101890.460,34.180
29.000,104383.250,34.850
30.000,107323.580,35.110
